c055,316.00800,-11.36720,1.80
c056,26.08800,-11.87220,1.58
c057,296.25000,-14.80670,9.08
c058,108.67500,-15.61670,31.00
c059,156.72450,-18.63830,1.81
c060,180.44100,-18.86830,8.52
c061,180.44550,-18.87920,8.36
c062,11.37150,-20.75920,9.00
c063,337.40850,-20.83720,1.85
c064,109.57500,-24.16670,34.88
c065,11.85900,-25.28830,9.96
c066,210.98700,-26.54060,12.20
c067,53.35050,-25.56220,8.84
c068,284.52450,-36.95670,22.30
c069,258.36600,-37.10310,1.44
c070,13.72050,-37.68580,9.56
c071,117.92550,-38.53330,32.75
c072,3.68400,-39.19690,9.44
c073,78.32100,-40.04640,12.35
c074,151.91250,-40.43610,1.79
c075,243.82500,-40.66670,32.75
c076,253.39950,-41.81670,36.75
c077,201.37050,-43.01920,26.00
c078,271.60350,-42.73670,12.70
c079,154.34100,-46.41080,12.65
c080,201.69150,-47.47690,36.00
c081,259.65450,-48.42390,11.95
c082,250.15050,-48.76670,33.50
c083,198.25800,-49.46750,9.00
c084,206.60850,-51.37750,12.20
c085,130.99950,-53.06670,36.88
c086,265.15800,-53.67390,13.20
c087,48.05850,-55.21580,11.80
c088,229.57500,-60.98330,30.12
c089,243.77550,-57.90000,33.25
c090,161.14950,-58.00000,1.67
c091,165.87450,-58.63330,36.25
c092,161.06250,-59.86670,120.00
c093,287.67900,-59.98470,13.30
c094,193.45050,-60.35000,34.75
c095,244.30050,-60.75000,33.62
c096,119.17500,-60.86670,35.25
c097,179.05050,-61.61670,33.38
c098,193.30050,-63.30000,31.38
c099,193.24950,-63.00000,27.00
c100,174.15000,-63.30000,34.38
c101,301.82100,-66.17940,9.20
c102,160.72500,-64.40000,37.50
c103,84.64650,-69.09830,23.80
c104,15.76650,-70.84810,12.70
c105,198.33300,-68.71390,8.40
c106,6.02100,-72.08140,14.00
c107,248.08350,-70.84830,11.35
c108,186.33300,-70.87810,12.10
c109,152.67450,-80.87030,1.53
ngc55,3.75000,-39.19600,9.44
ngc253,11.88000,-25.28800,27.00
ngc300,13.72500,-37.68500,9.56
ngc457,19.75500,58.28300,32.00
ngc663,26.50500,61.21700,31.13
ngc752,29.47500,37.68300,32.88
ngc869,34.75500,57.13300,30.00
ngc884,35.50500,57.13300,32.38
ngc891,35.62500,42.34900,14.00
ngc1097,41.58000,-30.27500,9.00
ngc1232,47.46000,-20.57900,8.84
ngc1300,49.96500,-19.41100,8.64
ngc1332,51.57000,-21.33500,8.68
ngc1365,53.40000,-36.14000,8.96
ngc1499,60.09000,36.41700,27.00
ngc2244,97.99500,4.86700,24.00
ngc2264,100.24500,9.88300,35.12
ngc2359,109.53000,-13.20300,20.50
ngc2403,114.27000,65.60300,9.24
ngc2419,114.79500,38.88300,11.45
ngc2903,142.99500,21.50000,9.20
ngc3115,151.32000,-7.71900,9.24
ngc3521,166.44000,-0.03600,9.20
ngc3628,170.02500,13.59000,9.00
ngc4038,180.45000,-18.86700,8.68
ngc4565,189.09000,25.98800,16.00
ngc4631,190.54500,32.54200,15.00
ngc4656,190.80000,32.17000,8.60
ngc5033,198.28500,36.59400,8.76
ngc5866,226.62000,55.76300,8.84
ngc6231,253.57500,-41.83300,36.75
ngc6334,260.02500,-35.78300,27.00
ngc6357,261.18000,-34.20000,25.60
ngc6822,296.28000,-14.80300,9.32
ngc6934,308.62500,7.40400,11.60
ngc7000,314.74500,44.51700,120.00
ngc7009,316.05000,-11.36300,1.80
ngc7331,339.25500,34.41600,9.00
ngc7479,346.24500,12.32300,8.44
ngc7793,359.44500,-32.59100,9.16
